Key,English,Japanese,Korean,ChineseSimplified,ChineseTraditional
// 코멘트,,,,,
editor.common.empty_object,Empty Object,,"빈
오브젝트",,
editor.common.script,Script,,스크립트,,
editor.common.label.commandbar,Command Bar,,커맨드 바,,
editor.ribbon.label.basicwindow,Basic Window,,기본 윈도우,,
editor.ribbon.label.layout,Layout,,레이아웃,,
editor.ribbon.label.uiedit,UI Edit,,UI 편집,,
editor.ribbon.label.visualscript,Visual Script,,비주얼 스크립트,,
editor.ribbon.label.createvariable,Create Variable,,변수 생성,,
editor.ribbon.label.devicemanage,Manage Devices,,장치 관리,,
editor.ribbon.label.createnewdevice,New Device,,새 장치,,
editor.ribbon.label.createnewscene,New Scene,,새 씬,,
editor.ribbon.label.gamemanage,Manage Games,,게임 관리,,
editor.ribbon.label.foldermanage,Manage Folders,,폴더 관리,,
editor.ribbon.label.resourcemanage,Manage Resources,,리소스 관리,,
editor.ribbon.label.deviceEdit,Device Edit,,장치 편집,,
editor.branchblockdrawer.if,If,,If,,
editor.branchblockdrawer.then,Then,,Then,,
editor.tools.transform.select,View,,화면 이동,,
editor.tools.transform.move,Move,,이동,,
editor.tools.transform.rotate,Rotate,,회전,,
editor.tools.transform.scale,Scale,,크기,,
editor.tools.transform.rect,Rect,,사각형,,
editor.tools.focus,Focus,,포커스,,
editor.tools.snap,Snap,,스냅,,
editor.tools.snap.snaptofloor,Snap to Floor,,바텀 스냅 모드,,
editor.tools.snap.meshsnap,Mesh Snap,,메시 스냅 모드,,
editor.tools.importpackage,Import VPackage,,V패키지 임포트,,
editor.tools.importasset,Import New Asset,,새로운 애셋 임포트,,
editor.tools.exportpackage,Export VPackage,,V패키지 익스포트,,
editor.common.export,Export,,익스포트,,
editor.common.import,Import,,임포트,,
editor.common.view,View,,보기,,
editor.common.variable,Variable,,변수,,
editor.common.unityobject,Unity Object,,유니티 오브젝트,,
editor.common.emptyunityobject,Empty Unity Object,,빈 유니티 오브젝트,,
editor.common.effect,Effect,,이펙트,,
editor.common.createasset,Create Asset,,애셋 생성,,
editor.common.world,World,,월드,,
editor.common.window,Window,,윈도우,,
editor.common.pause,Pause,,일시 정지,,
editor.common.nextstep,Next Step,,다음 스텝,,
editor.common.basicshape,Basic Shape,,기본 도형,,
editor.common.edit,Edit,,편집,,
editor.common.tools,Tools,,도구,,
editor.common.clipboard,Clipboard,,클립보드,,
editor.common.cut,Cut,,잘라내기,,
editor.common.home,Home,,홈,,
editor.common.undo,Undo,,작업 취소,,
editor.common.redo,Redo,,다시 실행,,
editor.common.min,Min,,최소,,
editor.common.max,Max,,최대,,
editor.common.tag,Tag,,태그,,
editor.common.layer,Layer,,레이어,,
editor.common.addluabehaviour,Add Lua Behavior,,루아 추가,,
editor.common.back,Back,,뒤로가기,,
editor.common.broadcasting,Broadcasting,,브로드캐스팅,,
editor.common.EventChainGraph,Event Chain Graph,,이벤트 체인 그래프,,
editor.common.vScene,Scene,,씬,,
editor.common.Play,Play,,플레이,,
editor.common.propdevice,Prop Device,,프랍,,
editor.common.PreviewScene,Preview Scene,,"현재 씬
미리보기",,
editor.common.PreviewPublishGame,Preview Game,,출판 게임 미리보기,,
editor.common.reset,Reset,,초기화,,
